mcc;public_mcc_description;Prometis_label
3385;TROPICAL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3386;SHOWCASE RENTAL CARS;PASSENGER TRANSPORT SERVICES - ROAD
3387;ALAMO RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3388;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3389;AVIS RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3390;DOLLAR RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3391;EUROPE BY CAR;PASSENGER TRANSPORT SERVICES - ROAD
3392;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3393;NATIONAL CAR RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3394;KEMWELL GROUP RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3395;THRIFTY RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3396;TILDEN TENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3397;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3398;ECONO-CAR RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3399;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3400;AUTO HOST COST CAR RENTALS;PASSENGER TRANSPORT SERVICES - ROAD
3401;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3402;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3403;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3404;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3405;ENTERPRISE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3406;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3407;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3408;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3409;GENERAL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3410;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3411;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3412;A-1 RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3413;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3414;GODFREY NATL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3415;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3416;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3417;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3418;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3419;ALPHA RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3420;ANSA INTL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3421;ALLSTAE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3422;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3423;AVCAR RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3424;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3425;AUTOMATE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3426;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3427;AVON RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3428;CAREY RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3429;INSURANCE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3430;MAJOR RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3431;REPLACEMENT RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3432;RESERVE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3433;UGLY DUCKLING RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3434;USA RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3435;VALUE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3436;AUTOHANSA RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3437;CITE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3438;INTERENT RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3439;MILLEVILLE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3440;VIA ROUTE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3441;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3501;HOLIDAY INNS, HOLIDAY INN EXPRESS;ACCOMMODATION SERVICES
3502;BEST WESTERN HOTELS;ACCOMMODATION SERVICES
3503;SHERATON HOTELS;ACCOMMODATION SERVICES
3504;HILTON HOTELS;ACCOMMODATION SERVICES
3505;FORTE HOTELS;ACCOMMODATION SERVICES
3506;GOLDEN TULIP HOTELS;ACCOMMODATION SERVICES
3507;FRIENDSHIP INNS;ACCOMMODATION SERVICES
3508;QUALITY INNS, QUALITY SUITES;ACCOMMODATION SERVICES
3509;MARRIOTT HOTELS;ACCOMMODATION SERVICES
3510;DAYS INN, DAYSTOP;ACCOMMODATION SERVICES
3511;ARABELLA HOTELS;ACCOMMODATION SERVICES
3512;INTER-CONTINENTAL HOTELS;ACCOMMODATION SERVICES
3513;WESTIN HOTELS;ACCOMMODATION SERVICES
3514;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3515;RODEWAY INNS;ACCOMMODATION SERVICES
3516;LA QUINTA MOTOR INNS;ACCOMMODATION SERVICES
3517;AMERICANA HOTELS;ACCOMMODATION SERVICES
3518;SOL HOTELS;ACCOMMODATION SERVICES
3519;PULLMAN INTERNATIONAL HOTELS;ACCOMMODATION SERVICES
3520;MERIDIEN HOTELS;ACCOMMODATION SERVICES
3521;CREST HOTELS (see FORTE HOTELS);ACCOMMODATION SERVICES
3522;TOKYO HOTEL;ACCOMMODATION SERVICES
3523;PENNSULA HOTEL;ACCOMMODATION SERVICES
3524;WELCOMGROUP HOTELS;ACCOMMODATION SERVICES
3525;DUNFEY HOTELS;ACCOMMODATION SERVICES
3526;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3527;DOWNTOWNER-PASSPORT HOTEL;ACCOMMODATION SERVICES
3528;RED LION HOTELS, RED LION INNS;ACCOMMODATION SERVICES
3529;CP HOTELS;ACCOMMODATION SERVICES
3530;RENAISSANCE HOTELS, STOUFFER HOTELS;ACCOMMODATION SERVICES
3531;ASTIR HOTELS;ACCOMMODATION SERVICES
3532;SUN ROUTE HOTELS;ACCOMMODATION SERVICES
3533;HOTEL IBIS;ACCOMMODATION SERVICES
3534;SOUTHERN PACIFIC HOTELS;ACCOMMODATION SERVICES
3535;HILTON INTERNATIONAL;ACCOMMODATION SERVICES
3536;AMFAC HOTELS;ACCOMMODATION SERVICES
3537;ANA HOTEL;ACCOMMODATION SERVICES
3538;CONCORDE HOTELS;ACCOMMODATION SERVICES
3539;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3540;IBEROTEL HOTELS;ACCOMMODATION SERVICES
3541;HOTEL OKURA;ACCOMMODATION SERVICES
3542;ROYAL HOTELS;ACCOMMODATION SERVICES
3543;FOUR SEASONS HOTELS;ACCOMMODATION SERVICES
3544;CIGA HOTELS;ACCOMMODATION SERVICES
3545;SHANGRI-LA INTERNATIONAL;ACCOMMODATION SERVICES
3546;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3547;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3548;HOTELES MELIA;ACCOMMODATION SERVICES
3549;AUBERGE DES GOVERNEURS;ACCOMMODATION SERVICES
3550;REGAL 8 INNS;ACCOMMODATION SERVICES
3551;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3552;COAST HOTELS;ACCOMMODATION SERVICES
3553;PARK INNS INTERNATIONAL;ACCOMMODATION SERVICES
3554;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3555;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3556;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3557;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3558;JOLLY HOTELS;ACCOMMODATION SERVICES
3559;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3560;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3561;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3562;COMFORT INNS;ACCOMMODATION SERVICES
3563;JOURNEY’S END MOTLS;ACCOMMODATION SERVICES
3564;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3565;RELAX INNS;ACCOMMODATION SERVICES
3566;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3567;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3568;LADBROKE HOTELS;ACCOMMODATION SERVICES
3569;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3570;FORUM HOTELS;ACCOMMODATION SERVICES
3571;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3572;MIYAKO HOTELS;ACCOMMODATION SERVICES
3573;SANDMAN HOTELS;ACCOMMODATION SERVICES
3574;VENTURE INNS;ACCOMMODATION SERVICES
3575;VAGABOND HOTELS;ACCOMMODATION SERVICES
3576;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3577;MANDARIN ORIENTAL HOTEL;ACCOMMODATION SERVICES
3578;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3579;HOTEL MERCURE;ACCOMMODATION SERVICES
3580;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3581;DELTA HOTEL;ACCOMMODATION SERVICES
3582;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3583;SAS HOTELS;ACCOMMODATION SERVICES
3584;PRINCESS HOTELS INTERNATIONAL;ACCOMMODATION SERVICES
3585;HUNGAR HOTELS;ACCOMMODATION SERVICES
3586;SOKOS HOTELS;ACCOMMODATION SERVICES
3587;DORAL HOTELS;ACCOMMODATION SERVICES
3588;HELMSLEY HOTELS;ACCOMMODATION SERVICES
3589;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3590;FAIRMONT HOTELS;ACCOMMODATION SERVICES
3591;SONESTA HOTELS;ACCOMMODATION SERVICES
3592;OMNI HOTELS;ACCOMMODATION SERVICES
3593;CUNARD HOTELS;ACCOMMODATION SERVICES
3594;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3595;HOSPITALITY INTERNATIONAL;ACCOMMODATION SERVICES
3596;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3597;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3598;REGENT INTERNATIONAL HOTELS;ACCOMMODATION SERVICES
3599;PANNONIA HOTELS;ACCOMMODATION SERVICES
3600;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3601;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3602;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3603;NOAH’S HOTELS;ACCOMMODATION SERVICES
3604;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3605;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3606;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3607;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3608;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3609;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3610;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3611;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3612;MOVENPICK HOTELS;ACCOMMODATION SERVICES
3613;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3614;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3615;TRAVELODGE;ACCOMMODATION SERVICES
3616;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3617;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3618;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3619;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3620;TELFORD INTERNATIONAL;ACCOMMODATION SERVICES
3621;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3622;MERLIN HOTELS;ACCOMMODATION SERVICES
3623;DORINT HOTELS;ACCOMMODATION SERVICES
3624;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3625;HOTLE UNIVERSALE;ACCOMMODATION SERVICES
3626;PRINCE HOTELS;ACCOMMODATION SERVICES
3627;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3628;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3629;DAN HOTELS;ACCOMMODATION SERVICES
3630;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3631;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3632;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3633;RANK HOTELS;ACCOMMODATION SERVICES
3634;SWISSOTEL;ACCOMMODATION SERVICES
3635;RESO HOTELS;ACCOMMODATION SERVICES
3636;SAROVA HOTELS;ACCOMMODATION SERVICES
3637;RAMADA INNS, RAMADA LIMITED;ACCOMMODATION SERVICES
3638;HO JO INN, HOWARD JOHNSON;ACCOMMODATION SERVICES
3639;MOUNT CHARLOTTE THISTLE;ACCOMMODATION SERVICES
3640;HYATT HOTEL;ACCOMMODATION SERVICES
3641;SOFITEL HOTELS;ACCOMMODATION SERVICES
3642;NOVOTEL HOTELS;ACCOMMODATION SERVICES
3643;STEIGENBERGER HOTELS;ACCOMMODATION SERVICES
3644;ECONO LODGES;ACCOMMODATION SERVICES
3645;QUEENS MOAT HOUSES;ACCOMMODATION SERVICES
3646;SWALLOW HOTELS;ACCOMMODATION SERVICES
3647;HUSA HOTELS;ACCOMMODATION SERVICES
3648;DE VERE HOTELS;ACCOMMODATION SERVICES
3649;RADISSON HOTELS;ACCOMMODATION SERVICES
3650;RED ROOK INNS;ACCOMMODATION SERVICES
3651;IMPERIAL LONDON HOTEL;ACCOMMODATION SERVICES
3652;EMBASSY HOTELS;ACCOMMODATION SERVICES
3653;PENTA HOTELS;ACCOMMODATION SERVICES
3654;LOEWS HOTELS;ACCOMMODATION SERVICES
3655;SCANDIC HOTELS;ACCOMMODATION SERVICES
3656;SARA HOTELS;ACCOMMODATION SERVICES
3657;OBEROI HOTELS;ACCOMMODATION SERVICES
3658;OTANI HOTELS;ACCOMMODATION SERVICES
3659;TAJ HOTELS INTERNATIONAL;ACCOMMODATION SERVICES
3660;KNIGHTS INNS;ACCOMMODATION SERVICES
3661;METROPOLE HOTELS;ACCOMMODATION SERVICES
3662;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3663;HOTELES EL PRESIDENTS;ACCOMMODATION SERVICES
3664;FLAG INN;ACCOMMODATION SERVICES
3665;HAMPTON INNS;ACCOMMODATION SERVICES
3666;STAKIS HOTELS;ACCOMMODATION SERVICES
3667;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3668;MARITIM HOTELS;ACCOMMODATION SERVICES
3669;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3670;ARCARD HOTELS;ACCOMMODATION SERVICES
3671;ARCTIA HOTELS;ACCOMMODATION SERVICES
3672;CAMPANIEL HOTELS;ACCOMMODATION SERVICES
3673;IBUSZ HOTELS;ACCOMMODATION SERVICES
3674;RANTASIPI HOTELS;ACCOMMODATION SERVICES
3675;INTERHOTEL CEDOK;ACCOMMODATION SERVICES
3676;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3677;CLIMAT DE FRANCE HOTELS;ACCOMMODATION SERVICES
3678;CUMULUS HOTELS;ACCOMMODATION SERVICES
3679;DANUBIUS HOTEL;ACCOMMODATION SERVICES
3680;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3681;ADAMS MARK HOTELS;ACCOMMODATION SERVICES
3682;ALLSTAR INNS;ACCOMMODATION SERVICES
3683;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3684;BUDGET HOST INNS;ACCOMMODATION SERVICES
3685;BUDGETEL HOTELS;ACCOMMODATION SERVICES
3686;SUISSE CHALETS;ACCOMMODATION SERVICES
3687;CLARION HOTELS;ACCOMMODATION SERVICES
3688;COMPRI HOTELS;ACCOMMODATION SERVICES
3689;CONSORT HOTELS;ACCOMMODATION SERVICES
3690;COURTYARD BY MARRIOTT;ACCOMMODATION SERVICES
3691;DILLION INNS;ACCOMMODATION SERVICES
3692;DOUBLETREE HOTELS;ACCOMMODATION SERVICES
3693;DRURY INNS;ACCOMMODATION SERVICES
3694;ECONOMY INNS OF AMERICA;ACCOMMODATION SERVICES
3695;EMBASSY SUITES;ACCOMMODATION SERVICES
3696;EXEL INNS;ACCOMMODATION SERVICES
3697;FARFIELD HOTELS;ACCOMMODATION SERVICES
3698;HARLEY HOTELS;ACCOMMODATION SERVICES
3699;MIDWAY MOTOR LODGE;ACCOMMODATION SERVICES
3700;MOTEL 6;ACCOMMODATION SERVICES
3701;GUEST QUARTERS (Formally PICKETT SUITE HOTELS);ACCOMMODATION SERVICES
3702;THE REGISTRY HOTELS;ACCOMMODATION SERVICES
3703;RESIDENCE INNS;ACCOMMODATION SERVICES
3704;ROYCE HOTELS;ACCOMMODATION SERVICES
3705;SANDMAN INNS;ACCOMMODATION SERVICES
3706;SHILO INNS;ACCOMMODATION SERVICES
3707;SHONEY’S INNS;ACCOMMODATION SERVICES
3708;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3709;SUPER8 MOTELS;ACCOMMODATION SERVICES
3710;THE RITZ CARLTON HOTELS;ACCOMMODATION SERVICES
3711;FLAG INNS (AUSRALIA);ACCOMMODATION SERVICES
3712;GOLDEN CHAIN HOTEL;ACCOMMODATION SERVICES
3713;QUALITY PACIFIC HOTEL;ACCOMMODATION SERVICES
3714;FOUR SEASONS HOTEL (AUSTRALIA);ACCOMMODATION SERVICES
3715;FARIFIELD INN;ACCOMMODATION SERVICES
3716;CARLTON HOTELS;ACCOMMODATION SERVICES
3717;CITY LODGE HOTELS;ACCOMMODATION SERVICES
3718;KAROS HOTELS;ACCOMMODATION SERVICES
3719;PROTEA HOTELS;ACCOMMODATION SERVICES
3720;SOUTHERN SUN HOTELS;ACCOMMODATION SERVICES
3721;HILTON CONRAD;ACCOMMODATION SERVICES
3722;WYNDHAM HOTEL AND RESORTS;ACCOMMODATION SERVICES
3723;RICA HOTELS;ACCOMMODATION SERVICES
3724;INER NOR HOTELS;ACCOMMODATION SERVICES
3725;SEAINES PLANATION;ACCOMMODATION SERVICES
3726;RIO SUITES;ACCOMMODATION SERVICES
3727;BROADMOOR HOTEL;ACCOMMODATION SERVICES
3728;BALLY’S HOTEL AND CASINO;ACCOMMODATION SERVICES
3729;JOHN ASCUAGA’S NUGGET;ACCOMMODATION SERVICES
3730;MGM GRAND HOTEL;ACCOMMODATION SERVICES
3731;HARRAH’S HOTELS AND CASINOS;ACCOMMODATION SERVICES
3732;OPRYLAND HOTEL;ACCOMMODATION SERVICES
3733;BOCA RATON RESORT;ACCOMMODATION SERVICES
3734;HARVEY/BRISTOL HOTELS;ACCOMMODATION SERVICES
3735;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3736;COLORADO BELLE/EDGEWATER RESORT;ACCOMMODATION SERVICES
3737;RIVIERA HOTEL AND CASINO;ACCOMMODATION SERVICES
3738;TROPICANA RESORT AND CASINO;ACCOMMODATION SERVICES
3739;WOODSIDE HOTELS AND RESORTS;ACCOMMODATION SERVICES
3740;TOWNPLACE SUITES;ACCOMMODATION SERVICES
3741;MILLENIUM BROADWAY HOTEL;ACCOMMODATION SERVICES
3742;CLUB MED;ACCOMMODATION SERVICES
3743;BILTMORE HOTEL AND SUITES;ACCOMMODATION SERVICES
3744;CAREFREE RESORTS;ACCOMMODATION SERVICES
3745;ST. REGIS HOTEL;ACCOMMODATION SERVICES
3746;THE ELIOT HOTEL;ACCOMMODATION SERVICES
3747;CLUBCORP/CLUB RESORTS;ACCOMMODATION SERVICES
3748;WELESLEY INNS;ACCOMMODATION SERVICES
3749;THE BEVERLY HILLS HOTEL;ACCOMMODATION SERVICES
3750;CROWNE PLAZA HOTELS;ACCOMMODATION SERVICES
3751;HOMEWOOD SUITES;ACCOMMODATION SERVICES
3752;PEABODY HOTELS;ACCOMMODATION SERVICES
3753;GREENBRIAH RESORTS;ACCOMMODATION SERVICES
3754;AMELIA ISLAND PLANATION;ACCOMMODATION SERVICES
3755;THE HOMESTEAD;ACCOMMODATION SERVICES
3756;SOUTH SEAS RESORTS;ACCOMMODATION SERVICES
3757;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3758;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3759;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3760;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3761;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3762;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3763;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3764;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3765;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3766;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3767;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3768;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3769;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3770;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3771;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3772;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3773;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3774;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3775;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3776;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3777;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3778;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3779;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3780;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3781;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3782;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3783;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3784;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3785;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3786;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3787;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3788;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3789;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3790;Hotels/Motels/Inns/Resorts;ACCOMMODATION SERVICES
3816;Home2Suites;ACCOMMODATION SERVICES
3835;* MASTERS ECONOMY INNS;ACCOMMODATION SERVICES
4011;Railroads;TRANSPORT SERVICES OF GOODS
4111;Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.;PASSENGER TRANSPORT SERVICES - PUBLIC
4112;Passenger Railways;PASSENGER TRANSPORT SERVICES - PUBLIC
4119;Ambulance Services;HEALTH SERVICES
4121;Taxicabs and Limousines;PASSENGER TRANSPORT SERVICES - ROAD
4131;Bus Lines, Including Charters, Tour Buses;PASSENGER TRANSPORT SERVICES - ROAD
4214;Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local;TRANSPORT SERVICES OF GOODS
4215;Courier Services – Air or Ground, Freight forwarders;TRANSPORT SERVICES OF GOODS
4225;Public warehousing, Storage;TRANSPORT SERVICES OF GOODS
4411;Cruise and Steamship Lines;ACCOMMODATION SERVICES
4457;Boat Rentals and Leases;CULTURAL AND RECREATIONAL SERVICES
4468;Marinas, Marine Service, and Supplies;CULTURAL AND RECREATIONAL SERVICES
4511;Airlines, Air Carriers ( not listed elsewhere);PASSENGER TRANSPORT SERVICES - AIR
4582;Airports, Airport Terminals, Flying Fields;SERVICES - OTHER
4722;Travel Agencies and Tour Operations;PACKAGE HOLIDAYS
4723;Package Tour Operators (For use in Germany only);PACKAGE HOLIDAYS
4784;Toll and Bridge Fees;SERVICES IN RESPECT OF PERSONAL TRANSPORT EQUIPMENT
4789;Transportation Services, Not elsewhere classified);PASSENGER TRANSPORT SERVICES - PUBLIC
4812;Telecommunications Equipment including telephone sales;INFORMATION AND COMMUNICATION EQUIPMENT
4814;Fax services, Telecommunication Services;INFORMATION AND COMMUNICATION SERVICES
4815;VisaPhone;INFORMATION AND COMMUNICATION SERVICES
4816;Computer Network Services;INFORMATION AND COMMUNICATION SERVICES
4821;Telegraph services;INFORMATION AND COMMUNICATION SERVICES
